pcf_id,pcf_cost,pcf_stock,ingram_id,ingram_cost,ingram_stock,intcomex_id,intcomex_cost,intcomex_stock
54589,44629.0,0.0,5868764,46.65,164.0,T11A320-AL,46.5,20.0
54590,44629.0,0.0,5868805,46.65,140.0,T11A420-AL,46.5,20.0
54618,75943.0,25.0,6685194,90.25,50.0,100018984.0,97.7,20.0
54708,676000.0,6.0,6592677,712.12,46.0,PRIME-RX9070XT-O16G,722.8,20.0
54784,657666.0,8.0,6776776,737.49,15.0,LS49FG910ELXZS,727.3,18.0
54801,700000.0,0.0,6630842,1418.3,4.0,LS27FG900XLXZS,592.14,3.0
54806,201674.0,252.0,6694378,226.41,312.0,C11CL41303,221.9,20.0
54911,24948.0,4.0,4638355,26.36,167.0,K68008WW,26.2,20.0
54920,8969.0,0.0,5452131,9.37,17.0,K80100WW,9.7,20.0
54938,1690907.0,0.0,5785891,1768.7,1.0,V11HA69020,1751.2,3.0
54949,476880.0,0.0,4371621,496.6,51.0,Q9H62A,490.5,20.0
54953,603418.0,0.0,5284027,514.76,29.0,R7J27A,608.8,5.0
54957,444710.0,0.0,5626952,324.95,19.0,R7J49A,441.4,10.0
55017,65000.0,0.0,3962863,71.98,28.0,CF500A,80.3,6.0
55019,76780.0,0.0,3962917,84.4,16.0,CF502A,94.7,4.0
55020,76780.0,0.0,3962919,84.4,15.0,CF503A,94.8,1.0
55024,301631.0,0.0,5337309,332.98,116.0,BX8071512700,352.2,20.0
55040,16389.0,-1.0,6402886,17.51,865.0,90XB08L0-BBP050,16.8,20.0
55154,932199.0,0.0,6457283,1011.7,30.0,21SG009GCL,1028.8,13.0
55187,291727.0,0.0,6764182,645.68,48.0,WDS200T4G0E,313.8,20.0
55216,142145.0,0.0,6252450,149.5,100.0,P2425H,144.7,20.0
55238,4160615.0,0.0,2690191,5256.4,8.0,SRT10KXLI,5089.7,3.0
55241,6123484.0,0.0,6518315,6537.9,3.0,P81425-DM5,9480.2,2.0
55244,2046465.0,0.0,5217946,12005.0,24.0,P40504-B21,2449.1,1.0
55257,177589.0,0.0,6343102,224.61,50.0,BX80768245K,252.8,20.0
55259,223994.0,1.0,6343101,250.32,100.0,BX80768245KF,233.2,20.0
55305,140000.0,0.0,6783817,153.22,39.0,LS27FM501ELXZS,157.1,20.0
55306,205000.0,195.0,6783816,207.8,125.0,LS32FG500ELXZS,220.5,20.0
55364,307789.0,0.0,5464806,324.94,31.0,100015605.0,312.5,20.0
55365,121744.0,0.0,4632182,134.2,10.0,100002614.0,133.4,6.0
55370,47554.0,0.0,5395920,50.66,374.0,W1500A,74.9,8.0
55388,1393398.0,0.0,6677810,2107.1,17.0,21R20014CL,2115.5,5.0
55552,1082773.0,0.0,6677814,1627.9,1.0,21QD001GCL,1762.9,20.0
55557,1117981.0,-1.0,6677797,1426.7,34.0,21QK000TCL,1793.9,20.0
55571,466400.0,0.0,6720115,638.96,362.0,83GU0058CL,643.6,20.0
55781,1728730.0,0.0,6720116,1799.4,90.0,21QU0009CL,1820.2,20.0
55785,749129.0,0.0,6677818,787.89,29.0,12XG001XCS,1145.0,20.0
55805,14138.0,0.0,6516246,14.91,60.0,4X31R64424,16.5,20.0
55808,973061.0,0.0,6739192,1032.8,78.0,21SS000LCL,1037.4,20.0
55811,29387.0,-1.0,6693241,36.2,263.0,4X31S04857,37.6,20.0
55815,10401.0,0.0,6618622,10.98,131.0,4X30M56888,11.6,20.0
55819,135981.0,0.0,3741267,149.65,305.0,100001815.0,148.5,20.0
55822,682944.0,0.0,5618440,721.0,23.0,100016880.0,738.8,20.0
55823,46618.0,0.0,6271023,49.16,22.0,100017963.0,49.0,20.0
55825,257313.0,0.0,4834757,275.0,194.0,100002551.0,281.2,8.0
55828,100850.0,1.0,6720119,106.47,72.0,64BCMAR4CL,107.7,20.0
55829,83873.0,-2.0,6720152,87.3,167.0,64BAMAR1CL,88.4,20.0
55836,2410936.0,0.0,6739194,3093.0,2.0,21RS003RCL,4464.4,3.0
55847,935963.0,-1.0,6235416,1061.5,9.0,90NX06Z1-M002K0,1068.9,20.0
55864,11950.0,0.0,4255929,13.73,11.0,100001450.0,14.8,20.0
56009,744094.0,1.0,6750980,1210.0,194.0,7XNFP,903.1,20.0
56044,260491.0,0.0,6677793,276.82,39.0,64B3GAR2CL,280.1,20.0
56046,380000.0,10.0,6751338,369.59,26.0,LS32FM801ULXZS,413.3,15.0
56058,766441.0,0.0,6313241,801.74,59.0,C11CK76301,387.3,4.0
56083,1478527.0,0.0,6590065,1545.2,10.0,C11CL31301,1538.9,4.0
56084,1163195.0,0.0,5625812,1262.1,8.0,100002270.0,1205.8,20.0
56085,551178.0,0.0,4501413,575.69,2.0,B11B250201,569.3,2.0
56086,352314.0,0.0,5830319,368.43,2.0,C11CK24301,369.91,9.0
56087,321455.0,0.0,5464805,353.96,110.0,100015642.0,346.8,20.0
56089,267077.0,0.0,6128954,292.8,14.0,100016893.0,286.2,20.0
56093,1079060.0,0.0,6289778,1222.9,1.0,100018880.0,692.66,4.0
56103,133684.0,189.0,6804958,140.43,153.0,LS27FG530ELXZS,155.64,20.0
56129,141836.0,0.0,5646368,151.33,1.0,C12C937901,149.9,20.0
56170,128049.0,0.0,6765579,136.81,29.0,90RC01A1-B0AAY0,130.1,20.0
56172,1702841.0,0.0,3331242,1432.0,2.0,JL255A,1810.5,2.0
56185,1168750.0,0.0,6713811,1250.0,9.0,4X77A90965,2124.5,18.0
