pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,solotodo_id,pcf_price,min_price,mode_price,mean_price,categoria
,4783958,TONER HP 206A NEGRO,Hp,W2110A,71.19,32,Suministros y Medios,Suministros Láser,,,,,,,,,,,,260121,,77270,,85109,need_creation
,4792041,TONER 047 REND 1600 PAGINAS,Canon,2164C001,59.26,3,Suministros y Medios,Suministros Láser,,,,,,,,,,,,260489,,65379,,72737,need_creation
,4792821,TV Wall Mount - For up to 80in Displays,Startech.Com,FPWARTS1,215.63,6,Pantallas,"Brazos, Pedestales, Montaje p/Monitores",,,,,,,,,,,,,,,,,need_creation
,4802909,Easy PDU Basic Zero U 11 kW 230V (36) C1,Apc,EPDU1216B,415.01,1,Protección Eléctrica y Racks,PDUs y Componentes,,,,,,,,,,,,,,,,,need_creation
,4811047,CABEZAL DE IMPRESION PF-10,Canon,0861C003,505.63,4,Productos POS/AIDC/Código de Barras,Suministros para Impresoras POS,,,,,,,,,,,,,,,,,need_creation
,4822193,Pro Fit Ergo Wired Mouse,Kensington,K75403EU,18.96,14,Dispositivos de Entrada,Mouse,,,,,,,,,,,,85974,,20690,24990,24318,need_creation
,4827711,SERVER RACK CABINET 42U,Startech.Com,RK4236BKB,2118.5,2,Protección Eléctrica y Racks,Racks,,,,,,,,,,,,,,,,,need_creation
,4830594,PRO FIT ERGONOMIC WIRELESS MOUSE - BLACK,Kensington,K75404WW,26.17,34,Dispositivos de Entrada,Mouse,,,,,,,,,,,,86252,,28856,,32056,need_creation
,4834958,WF-78xx / ET-58xx /ET-166xx / L65xx / L1,Epson,C12C934591,19.38,86,Suministros y Medios,Suministros Láser,,,,,,,,,,,,,,,,,need_creation
,4844000,RIPS3 PRINTER STAND,Epson,C12C934321,299.48,3,Impresoras,Muebles para Impresora/Plotter,,,,,,,,,,,,,,,,,need_creation
,4844094,Tambor HP 332A Blk Laser Imaging,Hp,W1332A,143.57,24,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,,,,,,need_creation
,4844096,TONER HP 147A NEGRO,Hp,W1470A,188.2,20,Suministros y Medios,Suministros Láser,,,,,,,,,,,,260134,,197399,,220372,need_creation
,4844097,TONER HP 147X NEGRO,Hp,W1470X,301.11,13,Suministros y Medios,Suministros Láser,,,,,,,,,,,,262216,,148990,,321096,need_creation
,4861965,CABLE DE PODER TIPO TREBOL,Hp,213352-001,0.0,79,Cables,Cables de Poder,,,,,,,,,,,,,,,,,need_creation
,4866298,CABLE ADAPTER POWER SUPPLY,Custom,26900000000005,18.02,31,Componentes de Sistema,Fuentes de Poder para Computadores Espec,,,,,,,,,,,,,,,,,need_creation
,4866300,PAPER SUPPORT KIT W NEAR PAPER END SENRÂ,Custom,974DW010000001,25.55,4,Productos POS/AIDC/Código de Barras,Accesorios para Terminales Móviles AIDC,,,,,,,,,,,,,,,,,need_creation
,4874438,ScanJet Pro 2000 s2 Sheet-Feed Scanner,Hp,6FW06A,313.59,9,Cámaras y Escáners,Escáners para el Hogar/Oficina,,,,,,,,,,,,,,,,,need_creation
,4874441,ScanJet Enterprise Flow 5000 s5,Hp,6FW09A,444.39,2,Cámaras y Escáners,Escáners para el Hogar/Oficina,,,,,,,,,,,,,,,,,need_creation
,4878289,EXTENSION CABLE RDBK GL PVC,Cooler Master,CMA-NEST16RDBK1-GL,22.52,7,Componentes de Sistema,Componentes de Gabinete,,,,,,,,,,,,,,,,,need_creation
,4881794,HPE SYNERGY 6820C 25 50GB CNA,Hewlett Packard Enterprise,P02054-B21,352.55,5,Dispositivos de Red,Tarjetas de Red Ethernet,,,,,,,,,,,,,,,,,need_creation
,4883333,EASY PDU METERED 0U 22KW (18)C13 (6)C19,Apc,EPDU1232M,600.63,2,Protección Eléctrica y Racks,PDUs y Componentes,,,,,,,,,,,,,,,,,need_creation
,4889830,Enclosure - M.2 NVMe PCIe SSD - USB-C,Startech.Com,M2E1BRU31C,103.36,5,Dispositivos de Almacenamiento,Componentes para Racks y Cajas de Discos,,,,,,,,,,,,,,,,,need_creation
,4936512,10ft 14AWG Computer Power Cord NEMA 5-15,Startech.Com,PXT515191410,25.1,7,Cables,Cables de Poder,,,,,,,,,,,,,,,,,need_creation
,4936537,USB Secure Charge Cable 1m (USB-C to USB,Startech.Com,USBSCHAC1M,8.56,8,Cables,Cables y Adaptadores USB,,,,,,,,,,,,,,,,,need_creation
,4944984,USB-C to Dual HDMI 1.4 Video Adapter,Kensington,K38286WW,34.4,3,Cables,Cables y Adaptadores de Audio + Video,,,,,,,,,,,,,,,,,need_creation
,4944993,SureTrack Dual Wireless Mouse - Grey,Kensington,K75351WW,9.98,209,Dispositivos de Entrada,Mouse,,,,,,,,,,,,85978,,11500,,12932,need_creation
,4944994,SureTrack Dual Wireless Mouse - Red,Kensington,K75352WW,10.08,63,Dispositivos de Entrada,Mouse,,,,,,,,,,,,86747,,11227,,13592,need_creation
,4958281,POWER INJECTOR 802.3AT FOR AIRONET ACCES,Cisco,AIR-PWRINJ6=,137.04,3,Componentes de Sistema,Fuentes de Poder para Computadores Espec,,,,,,,,,,,,,,,,,need_creation
,4967016,"Catalyst 9200L 48-port PoE+, 4 x 1G, Ne",Cisco,C9200L-48P-4G-E,4455.8,2,Dispositivos de Red,Switches Estaqueables,,,,,,,,,,,,381042,,,,,need_creation
,4985164,ESCANER LIDE 400 USB,Canon,2996C003,81.99,27,Cámaras y Escáners,Escáners para el Hogar/Oficina,,,,,,,,,,,,,,,,,need_creation
